ID,Area_px2,Area_um2,Perimetro_px,Diametro_px,Diametro_um,Eccentricity,Solidity
8114,28.00,0.735825,18.97,5.9708,0.967926,0.8343,0.9655
8115,24.00,0.630707,15.31,5.5279,0.896125,0.0000,1.0000
8116,62.00,1.629326,35.94,8.8849,1.440320,0.8365,0.8158
8117,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8118,40.00,1.051178,27.46,7.1365,1.156893,0.9294,0.7692
8119,44.00,1.156296,24.38,7.4848,1.213360,0.7058,0.9167
8120,65.00,1.708164,33.70,9.0973,1.474755,0.7726,0.8553
8121,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8122,161.00,4.230991,70.81,14.3175,2.321005,0.7107,0.7061
8123,127.00,3.337490,56.25,12.7162,2.061413,0.7668,0.7697
8124,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8125,309.00,8.120350,141.31,19.8351,3.215455,0.7546,0.6012
8127,173.00,4.546345,75.40,14.8415,2.405948,0.9435,0.7004
8128,30.00,0.788383,18.97,6.1804,1.001899,0.8052,1.0000
8129,50.00,1.313972,31.46,7.9788,1.293446,0.9286,0.8065
8130,63.00,1.655605,32.87,8.9562,1.451889,0.8539,0.8630
8131,76.00,1.997238,40.53,9.8370,1.594667,0.9387,0.8539
8132,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8133,83.00,2.181194,43.60,10.2800,1.666488,0.9511,0.8557
8134,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8135,94.00,2.470268,47.60,10.9400,1.773483,0.9140,0.7520
8136,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8137,18.00,0.473030,14.14,4.7873,0.776067,0.7071,1.0000
8138,18.00,0.473030,13.31,4.7873,0.776067,0.3974,1.0000
8139,13.00,0.341633,11.31,4.0684,0.659530,0.0000,1.0000
8141,55.00,1.445370,30.87,8.3683,1.356577,0.9162,0.9167
