ID,Area(px2),Perimetro(px),DiametroEquivalente(px),Eccentricidad,Solidity
391,13.00,11.31,4.07,0.0000,1.0000
392,99.00,49.84,11.23,0.9298,0.7920
393,54.00,34.53,8.29,0.2615,0.7397
394,31.00,18.14,6.28,0.2410,1.0000
395,18.00,14.14,4.79,0.7071,1.0000
396,54.00,30.87,8.29,0.9266,0.9000
397,13.00,11.31,4.07,0.0000,1.0000
398,13.00,11.31,4.07,0.0000,1.0000
399,33.00,23.21,6.48,0.8858,0.7674
400,87.00,48.81,10.52,0.8781,0.6850
401,13.00,11.31,4.07,0.0000,1.0000
402,13.00,11.31,4.07,0.0000,1.0000
403,79.00,44.60,10.03,0.9753,0.8876
404,13.00,11.31,4.07,0.0000,1.0000
406,13.00,11.31,4.07,0.0000,1.0000
407,13.00,11.31,4.07,0.0000,1.0000
408,203.00,111.92,16.08,0.9709,0.4710
409,13.00,11.31,4.07,0.0000,1.0000
410,32.00,18.97,6.38,0.9099,0.8000
411,95.00,54.08,11.00,0.9566,0.6169
412,26.00,17.56,5.75,0.7642,0.9630
413,18.00,13.31,4.79,0.3974,1.0000
414,21.00,14.73,5.17,0.5216,1.0000
415,68.00,36.53,9.30,0.7525,0.7907
416,13.00,11.31,4.07,0.0000,1.0000
417,30.00,18.97,6.18,0.6813,0.9677
418,21.00,14.73,5.17,0.5216,1.0000
420,31.00,18.97,6.28,0.4438,0.9688
421,13.00,11.31,4.07,0.0000,1.0000
422,18.00,14.14,4.79,0.7071,1.0000
423,30.00,21.80,6.18,0.9173,0.8824
424,146.00,72.47,13.63,0.6073,0.6547
425,18.00,13.31,4.79,0.3974,1.0000
426,18.00,13.31,4.79,0.3974,1.0000
427,13.00,11.31,4.07,0.0000,1.0000
428,13.00,11.31,4.07,0.0000,1.0000
429,21.00,14.73,5.17,0.5216,1.0000
430,13.00,11.31,4.07,0.0000,1.0000
431,18.00,13.31,4.79,0.3974,1.0000
433,104.00,60.53,11.51,0.7909,0.6228
434,18.00,15.66,4.79,0.9098,1.0000
436,13.00,11.31,4.07,0.0000,1.0000
437,13.00,11.31,4.07,0.0000,1.0000
438,13.00,11.31,4.07,0.0000,1.0000
439,55.00,31.46,8.37,0.9318,0.8871
440,18.00,14.14,4.79,0.7071,1.0000
441,41.00,26.04,7.23,0.8455,0.8723
442,59.00,35.11,8.67,0.9294,0.8551
443,18.00,13.31,4.79,0.3974,1.0000
444,13.00,11.31,4.07,0.0000,1.0000
445,52.00,25.80,8.14,0.5984,0.9455
447,51.00,34.32,8.06,0.9251,0.7183
448,13.00,11.31,4.07,0.0000,1.0000
449,18.00,14.14,4.79,0.7071,1.0000
450,36.00,21.80,6.77,0.6703,0.9474
451,13.00,11.31,4.07,0.0000,1.0000
452,13.00,11.31,4.07,0.0000,1.0000
453,13.00,11.31,4.07,0.0000,1.0000
454,13.00,11.31,4.07,0.0000,1.0000
455,37.00,22.38,6.86,0.7186,0.9024
456,71.00,42.94,9.51,0.8493,0.7172
457,287.00,101.92,19.12,0.8714,0.6464
458,18.00,13.31,4.79,0.3974,1.0000
459,12.00,11.66,3.91,0.8427,1.0000
460,122.00,61.15,12.46,0.6834,0.6559
461,29.00,18.97,6.08,0.7007,0.9667
462,18.00,14.14,4.79,0.7071,1.0000
463,13.00,11.31,4.07,0.0000,1.0000
464,13.00,11.31,4.07,0.0000,1.0000
465,13.00,11.31,4.07,0.0000,1.0000
466,51.00,37.53,8.06,0.9592,0.6071
467,13.00,11.31,4.07,0.0000,1.0000
468,13.00,11.31,4.07,0.0000,1.0000
469,50.00,35.87,7.98,0.9640,0.7042
